Date,PZD
1/2/2014,31.39
1/3/2014,31.54
1/6/2014,31.49
1/7/2014,31.75
1/8/2014,31.65
1/9/2014,31.77
1/10/2014,32.08
1/13/2014,31.7
1/14/2014,32.15
1/15/2014,32.25
1/16/2014,32.24
1/17/2014,31.94
1/21/2014,32.03
1/22/2014,32.11
1/23/2014,31.73
1/24/2014,30.82
1/27/2014,30.65
1/28/2014,30.86
1/29/2014,30.54
1/30/2014,30.89
1/31/2014,30.57
2/3/2014,29.84
2/4/2014,30.04
2/5/2014,30.1
2/6/2014,30.64
2/7/2014,31.06
2/10/2014,31.01
2/11/2014,31.5
2/12/2014,31.68
2/13/2014,31.97
2/14/2014,32.16
2/18/2014,32.45
2/19/2014,32.23
2/20/2014,32.48
2/21/2014,32.36
2/24/2014,32.65
2/25/2014,32.64
2/26/2014,32.63
2/27/2014,32.77
2/28/2014,32.82
3/3/2014,32.4
3/4/2014,33.13
3/5/2014,33.2
3/6/2014,33.52
3/7/2014,33.35
3/10/2014,33.09
3/11/2014,32.96
3/12/2014,32.7
3/13/2014,32.13
3/14/2014,32.07
3/17/2014,32.57
3/18/2014,32.93
3/19/2014,32.59
3/20/2014,32.55
3/21/2014,32.36
3/24/2014,32.26
3/25/2014,32.27
3/26/2014,32.04
3/27/2014,31.96
3/28/2014,32.3
3/31/2014,32.63
4/1/2014,33.02
4/2/2014,33.04
4/3/2014,32.96
4/4/2014,32.44
4/7/2014,32.06
4/8/2014,32.18
4/9/2014,32.38
4/10/2014,31.96
4/11/2014,31.6
4/14/2014,31.36
4/15/2014,31.39
4/16/2014,31.86
4/17/2014,32.04
4/21/2014,32.02
4/22/2014,32.48
4/23/2014,32.13
4/24/2014,32.09
4/25/2014,31.88
4/28/2014,31.62
4/29/2014,31.68
4/30/2014,31.87
5/1/2014,31.83
5/2/2014,31.86
5/5/2014,31.85
5/6/2014,31.64
5/7/2014,31.44
5/8/2014,31.36
5/9/2014,31.5
5/12/2014,32.21
5/13/2014,31.98
5/14/2014,31.83
5/15/2014,31.39
5/16/2014,31.55
5/19/2014,31.71
5/20/2014,31.54
5/21/2014,31.7
5/22/2014,31.92
5/23/2014,32.21
5/27/2014,32.5
5/28/2014,32.44
5/29/2014,32.48
5/30/2014,32.49
6/2/2014,32.38
6/3/2014,32.27
6/4/2014,32.49
6/5/2014,32.85
6/6/2014,33.17
6/9/2014,33.24
6/10/2014,33.06
6/11/2014,32.94
6/12/2014,32.76
6/13/2014,32.9
6/16/2014,32.72
6/17/2014,32.97
6/18/2014,33.12
6/19/2014,33.22
6/20/2014,33.03
6/23/2014,32.97
6/24/2014,32.71
6/25/2014,32.73
6/26/2014,32.6
6/27/2014,32.76
6/30/2014,32.87
7/1/2014,33.08
7/2/2014,32.86
7/3/2014,33.1
7/7/2014,32.66
7/8/2014,32.19
7/9/2014,32.38
7/10/2014,31.88
7/11/2014,31.8
