Date,XBI
1/2/2014,14.54
1/3/2014,14.49
1/6/2014,14.32
1/7/2014,14.67
1/8/2014,15.05
1/9/2014,16.18
1/10/2014,17.07
1/13/2014,16.74
1/14/2014,16.84
1/15/2014,16.93
1/16/2014,17.28
1/17/2014,17.41
1/21/2014,17.78
1/22/2014,17.72
1/23/2014,17.72
1/24/2014,17.12
1/27/2014,16.4
1/28/2014,16.9
1/29/2014,16.69
1/30/2014,17.08
1/31/2014,16.69
2/3/2014,15.93
2/4/2014,16.15
2/5/2014,15.84
2/6/2014,15.73
2/7/2014,16.62
2/10/2014,17.09
2/11/2014,17.34
2/12/2014,17.38
2/13/2014,17.58
2/14/2014,17.27
2/18/2014,17.72
2/19/2014,17.43
2/20/2014,17.89
2/21/2014,18.27
2/24/2014,18.5
2/25/2014,18.94
2/26/2014,18.89
2/27/2014,18.96
2/28/2014,18.19
3/3/2014,18.15
3/4/2014,18.61
3/5/2014,18.54
3/6/2014,17.96
3/7/2014,17.87
3/10/2014,17.94
3/11/2014,17.76
3/12/2014,17.85
3/13/2014,17.51
3/14/2014,17.58
3/17/2014,17.47
3/18/2014,18.09
3/19/2014,18.02
3/20/2014,17.8
3/21/2014,17.02
3/24/2014,16.33
3/25/2014,16.25
3/26/2014,15.73
3/27/2014,15.88
3/28/2014,15.3
3/31/2014,15.83
4/1/2014,16.16
4/2/2014,16.05
4/3/2014,15.46
4/4/2014,14.83
4/7/2014,14.8
4/8/2014,14.85
4/9/2014,15.42
4/10/2014,14.42
4/11/2014,13.84
4/14/2014,13.61
4/15/2014,13.63
4/16/2014,14.03
4/17/2014,13.93
4/21/2014,14.27
4/22/2014,14.9
4/23/2014,14.49
4/24/2014,14.38
4/25/2014,13.82
4/28/2014,13.73
4/29/2014,14.25
4/30/2014,14.3
5/1/2014,14.48
5/2/2014,14.22
5/5/2014,14.48
5/6/2014,14.1
5/7/2014,13.91
5/8/2014,13.42
5/9/2014,13.8
5/12/2014,14.28
5/13/2014,14.14
5/14/2014,14.16
5/15/2014,13.96
5/16/2014,13.86
5/19/2014,14.16
5/20/2014,13.87
5/21/2014,13.85
5/22/2014,14.19
5/23/2014,14.31
5/27/2014,14.81
5/28/2014,14.77
5/29/2014,14.86
5/30/2014,14.7
6/2/2014,14.52
6/3/2014,14.55
6/4/2014,14.84
6/5/2014,15.15
6/6/2014,15.31
6/9/2014,16.25
6/10/2014,16.66
6/11/2014,16.54
6/12/2014,16.53
6/13/2014,16.47
6/16/2014,16.78
6/17/2014,16.81
6/18/2014,17
6/19/2014,17.04
6/20/2014,17.05
6/23/2014,16.94
6/24/2014,16.89
6/25/2014,16.93
6/26/2014,16.93
6/27/2014,17.05
6/30/2014,17.11
7/1/2014,17.41
7/2/2014,17.42
7/3/2014,17.43
7/7/2014,16.86
7/8/2014,16.22
7/9/2014,16.37
7/10/2014,16.18
7/11/2014,16.34
7/14/2014,16.38
7/15/2014,15.75
7/16/2014,15.52
7/17/2014,14.96
7/18/2014,15.45
7/21/2014,15.52
7/22/2014,15.62
7/23/2014,16.7
7/24/2014,16.51
7/25/2014,16.28
7/28/2014,16.02
7/29/2014,16.54
7/30/2014,16.78
7/31/2014,16.24
8/1/2014,16.12
8/4/2014,16.29
8/5/2014,16.41
8/6/2014,16.45
8/7/2014,16.22
8/8/2014,16.59
8/11/2014,16.87
8/12/2014,16.71
8/13/2014,17.08
8/14/2014,17.24
8/15/2014,17.26
8/18/2014,17.44
8/19/2014,17.39
8/20/2014,17.23
8/21/2014,16.91
8/22/2014,17.07
8/25/2014,17.62
8/26/2014,18.1
8/27/2014,18.02
8/28/2014,17.76
8/29/2014,17.99
9/2/2014,17.84
9/3/2014,17.92
9/4/2014,17.67
9/5/2014,17.54
9/8/2014,17.77
9/9/2014,17.46
9/10/2014,18.03
9/11/2014,18.08
9/12/2014,17.84
9/15/2014,17.43
9/16/2014,17.53
9/17/2014,17.75
9/18/2014,17.77
9/19/2014,17.59
9/22/2014,17.25
9/23/2014,17.14
9/24/2014,17.71
9/25/2014,17.39
9/26/2014,17.63
9/29/2014,17.75
9/30/2014,17.33
10/1/2014,17.1
10/2/2014,17.31
10/3/2014,17.59
10/6/2014,17.22
10/7/2014,16.81
10/8/2014,17.19
10/9/2014,16.67
10/10/2014,16.27
10/13/2014,16.16
10/14/2014,16.34
10/15/2014,16.91
10/16/2014,17.4
10/17/2014,17.34
10/20/2014,17.66
10/21/2014,17.85
10/22/2014,17.7
10/23/2014,18.37
10/24/2014,18.58
10/27/2014,18.58
10/28/2014,19.06
10/29/2014,18.85
10/30/2014,19.26
10/31/2014,19.04
11/3/2014,19.06
11/4/2014,18.9
11/5/2014,18.4
11/6/2014,18.78
11/7/2014,18.64
11/10/2014,19.13
11/11/2014,19.14
11/12/2014,19.3
11/13/2014,19.04
11/14/2014,18.66
11/17/2014,18.71
11/18/2014,19.04
11/19/2014,18.88
11/20/2014,19.17
11/21/2014,19.34
11/24/2014,19.8
11/25/2014,19.74
11/26/2014,20.06
11/28/2014,19.98
12/1/2014,19.41
12/2/2014,19.92
12/3/2014,19.94
12/4/2014,19.79
12/5/2014,20.14
12/8/2014,20.26
12/9/2014,20.85
12/10/2014,20.4
12/11/2014,20.45
12/12/2014,20.41
12/15/2014,19.54
12/16/2014,19.43
12/17/2014,20.36
12/18/2014,21.01
12/19/2014,21.15
12/22/2014,20.99
12/23/2014,19.91
12/24/2014,20.29
12/26/2014,20.76
12/29/2014,20.83
12/30/2014,20.62
12/31/2014,20.72
1/2/2015,20.93
1/5/2015,21
1/6/2015,20.48
1/7/2015,21.3
1/8/2015,21.77
1/9/2015,21.79
1/12/2015,21.99
1/13/2015,21.83
1/14/2015,22.17
1/15/2015,21.35
1/16/2015,21.99
1/20/2015,22.24
1/21/2015,21.6
1/22/2015,21.83
1/23/2015,22.07
1/26/2015,22.69
1/27/2015,22.74
1/28/2015,22.13
1/29/2015,22.45
1/30/2015,22.18
2/2/2015,21.83
2/3/2015,21.77
2/4/2015,21.33
2/5/2015,21.95
2/6/2015,21.67
2/9/2015,21.56
2/10/2015,22.05
2/11/2015,21.98
2/12/2015,22.45
2/13/2015,22.6
2/17/2015,23.03
2/18/2015,23.32
2/19/2015,23.52
2/20/2015,23.71
2/23/2015,23.9
2/24/2015,23.44
2/25/2015,24.04
2/26/2015,24.21
2/27/2015,23.85
3/2/2015,24.17
3/3/2015,24.2
3/4/2015,24.67
3/5/2015,25.29
3/6/2015,24.97
3/9/2015,24.95
3/10/2015,25.04
3/11/2015,25.17
3/12/2015,25.19
3/13/2015,25.38
3/16/2015,25.76
3/17/2015,25.9
3/18/2015,25.74
3/19/2015,26.44
3/20/2015,25.98
3/23/2015,25.47
3/24/2015,25.28
3/25/2015,23.91
3/26/2015,23.82
3/27/2015,24.38
3/30/2015,24.93
3/31/2015,25.06
4/1/2015,24.53
4/2/2015,24.47
4/6/2015,24.4
4/7/2015,24.52
4/8/2015,25.23
4/9/2015,25.13
4/10/2015,25.49
4/13/2015,25.79
4/14/2015,25.77
4/15/2015,25.9
4/16/2015,26.09
4/17/2015,25.64
4/20/2015,25.69
4/21/2015,25.88
4/22/2015,25.85
4/23/2015,26.3
4/24/2015,25.98
4/27/2015,24.55
4/28/2015,24.13
4/29/2015,23.97
4/30/2015,22.93
5/1/2015,23.69
5/4/2015,24.01
5/5/2015,23.33
5/6/2015,23.88
5/7/2015,24.16
5/8/2015,24.87
5/11/2015,25.05
5/12/2015,25.11
5/13/2015,24.94
