Date,XLK
1/2/2014,35.39
1/3/2014,35.22
1/6/2014,35.16
1/7/2014,35.48
1/8/2014,35.48
1/9/2014,35.25
1/10/2014,35.32
1/13/2014,34.94
1/14/2014,35.53
1/15/2014,35.96
1/16/2014,35.95
1/17/2014,35.75
1/21/2014,35.93
1/22/2014,35.89
1/23/2014,35.82
1/24/2014,35.13
1/27/2014,34.8
1/28/2014,34.59
1/29/2014,34.32
1/30/2014,34.74
1/31/2014,34.82
2/3/2014,34.09
2/4/2014,34.22
2/5/2014,34.25
2/6/2014,34.63
2/7/2014,35.1
2/10/2014,35.17
2/11/2014,35.6
2/12/2014,35.74
2/13/2014,36
2/14/2014,36.07
2/18/2014,36.09
2/19/2014,35.97
2/20/2014,36.09
2/21/2014,35.95
2/24/2014,36.09
2/25/2014,35.99
2/26/2014,36.02
2/27/2014,36.31
2/28/2014,36.35
3/3/2014,35.96
3/4/2014,36.43
3/5/2014,36.48
3/6/2014,36.53
3/7/2014,36.42
3/10/2014,36.36
3/11/2014,36.28
3/12/2014,36.34
3/13/2014,35.85
3/14/2014,35.63
3/17/2014,36.05
3/18/2014,36.52
3/19/2014,36.37
3/20/2014,36.65
3/21/2014,36.31
3/24/2014,36.28
3/25/2014,36.5
3/26/2014,36.06
3/27/2014,35.93
3/28/2014,36.07
3/31/2014,36.35
4/1/2014,36.78
4/2/2014,36.8
4/3/2014,36.62
4/4/2014,35.92
4/7/2014,35.64
4/8/2014,35.96
4/9/2014,36.44
4/10/2014,35.6
4/11/2014,35.2
4/14/2014,35.55
4/15/2014,35.73
4/16/2014,36.08
4/17/2014,36.03
4/21/2014,36.17
4/22/2014,36.32
4/23/2014,35.93
4/24/2014,36.21
4/25/2014,35.75
4/28/2014,36.09
4/29/2014,36.34
4/30/2014,36.45
5/1/2014,36.49
5/2/2014,36.39
5/5/2014,36.58
5/6/2014,36.17
5/7/2014,36.19
5/8/2014,36.29
5/9/2014,36.33
5/12/2014,36.82
5/13/2014,36.84
5/14/2014,36.67
5/15/2014,36.45
5/16/2014,36.68
5/19/2014,36.92
5/20/2014,36.71
5/21/2014,36.96
5/22/2014,37.03
5/23/2014,37.34
5/27/2014,37.66
5/28/2014,37.56
5/29/2014,37.78
5/30/2014,37.82
6/2/2014,37.76
6/3/2014,37.7
6/4/2014,37.77
6/5/2014,38.02
6/6/2014,38.19
6/9/2014,38.31
6/10/2014,38.33
6/11/2014,38.24
6/12/2014,37.91
6/13/2014,38.13
6/16/2014,38.13
6/17/2014,38.22
6/18/2014,38.42
6/19/2014,38.35
6/20/2014,38.09
6/23/2014,38.2
6/24/2014,38
6/25/2014,38.15
6/26/2014,38.11
6/27/2014,38.34
6/30/2014,38.35
7/1/2014,38.74
7/2/2014,38.78
7/3/2014,38.95
7/7/2014,38.99
7/8/2014,38.64
7/9/2014,38.83
7/10/2014,38.72
7/11/2014,38.92
7/14/2014,39.2
7/15/2014,39.13
7/16/2014,39.49
7/17/2014,38.98
7/18/2014,39.45
7/21/2014,39.4
7/22/2014,39.73
7/23/2014,39.8
7/24/2014,39.77
7/25/2014,39.72
7/28/2014,39.79
7/29/2014,39.71
7/30/2014,39.75
7/31/2014,39
8/1/2014,38.79
8/4/2014,39.07
8/5/2014,38.7
8/6/2014,38.58
8/7/2014,38.42
8/8/2014,38.67
8/11/2014,38.86
8/12/2014,38.84
8/13/2014,39.22
8/14/2014,39.29
8/15/2014,39.29
8/18/2014,39.66
8/19/2014,39.91
8/20/2014,39.91
8/21/2014,40.1
8/22/2014,40.11
8/25/2014,40.15
8/26/2014,40.17
8/27/2014,40.16
8/28/2014,40.1
8/29/2014,40.28
9/2/2014,40.29
9/3/2014,40.07
9/4/2014,40.05
9/5/2014,40.29
9/8/2014,40.35
9/9/2014,40.06
9/10/2014,40.3
9/11/2014,40.39
9/12/2014,40.22
9/15/2014,39.98
9/16/2014,40.28
9/17/2014,40.36
9/18/2014,40.6
9/19/2014,40.34
9/22/2014,40.07
9/23/2014,39.98
9/24/2014,40.24
9/25/2014,39.36
9/26/2014,39.79
9/29/2014,39.78
9/30/2014,39.9
10/1/2014,39.28
10/2/2014,39.26
10/3/2014,39.58
10/6/2014,39.59
10/7/2014,38.97
10/8/2014,39.71
10/9/2014,39.05
10/10/2014,38.05
10/13/2014,37.63
10/14/2014,37.69
10/15/2014,37.43
10/16/2014,37.21
10/17/2014,37.65
10/20/2014,37.92
10/21/2014,38.66
10/22/2014,38.48
10/23/2014,38.91
10/24/2014,39.25
10/27/2014,39.29
10/28/2014,39.83
10/29/2014,39.79
10/30/2014,39.92
10/31/2014,40.54
11/3/2014,40.71
11/4/2014,40.7
11/5/2014,40.81
11/6/2014,40.79
11/7/2014,40.84
11/10/2014,40.95
11/11/2014,40.97
11/12/2014,41.1
11/13/2014,41.32
11/14/2014,41.61
